:BeginHeader
Using satellite data from MODIS/AQUA
Match-up generation datetime: 2021-12-02T13:07:03
Investigator: ermaure
Contact: maure@npec.or.jp
Missing: -999
Delimiter: comma
Header rows: 14
VALIDATION CRITERIA applied to this match-up
-Box size of satellite extract: 5 x 5 = 25 pixels
-Minimum percent valid satellite pixels: 25.0
-Maximum time difference between satellite and in situ: 3 h
-Level-2 flags considered for data screening: ATMFAIL+LAND+CLDICE+CHLFAIL+NAVFAIL
:EndHeader
cruise,Year,Month,Day,Hour,Minute,Second,Lat,Lon,id,etopo2,chl,Datetime,Filename,Variable [Units],StartDatetime,EndDatetime,ValidPixels,InvalidPixels,Min,Max,Mean,STD,Median,PointValue,PixelValue01,PixelValue02,PixelValue03,PixelValue04,PixelValue05,PixelValue06,PixelValue07,PixelValue08,PixelValue09,PixelValue10,PixelValue11,PixelValue12,PixelValue13,PixelValue14,PixelValue15,PixelValue16,PixelValue17,PixelValue18,PixelValue19,PixelValue20,PixelValue21,PixelValue22,PixelValue23,PixelValue24,PixelValue25,PixelFlags01,PixelFlags02,PixelFlags03,PixelFlags04,PixelFlags05,PixelFlags06,PixelFlags07,PixelFlags08,PixelFlags09,PixelFlags10,PixelFlags11,PixelFlags12,PixelFlags13,PixelFlags14,PixelFlags15,PixelFlags16,PixelFlags17,PixelFlags18,PixelFlags19,PixelFlags20,PixelFlags21,PixelFlags22,PixelFlags23,PixelFlags24,PixelFlags25
apr05mb,2005,4,5,16,0,0,42.5495,-70.4475,7750.0,74.0,2.79,2005-04-05T16:00:00,A2005095175000.L2_LAC_OC.nc,Rrs_678 [sr^-1],2005-04-05T17:50:00,2005-04-05T17:54:59,25,0,0.00049400,0.00083600,0.00068184,0.00009149,0.00068400,0.00069200,0.00049400,0.00055200,0.00065000,0.00069600,0.00077200,0.00051800,0.00063000,0.00068400,0.00074200,0.00077000,0.00054800,0.00068400,0.00069200,0.00076800,0.00077000,0.00058800,0.00065800,0.00067600,0.00075200,0.00083600,0.00060600,0.00067200,0.00068400,0.00078200,0.00082200,,,,,,,,,,PRODFAIL,,,,,,,,,,,,,,,PRODFAIL
apr05mb,2005,4,5,20,20,0,42.3463,-70.5716,7752.0,49.0,3.934,2005-04-05T20:20:00,A2005095175000.L2_LAC_OC.nc,chlor_a [mg m^-3],2005-04-05T17:50:00,2005-04-05T17:54:59,25,0,2.93321300,3.73099566,3.31446425,1.07907288,3.30129409,3.23673916,3.14619398,3.30129409,3.69677162,3.57956553,3.62349963,3.14635992,3.34530854,3.60243511,3.59694815,3.70298815,3.09247279,3.00650430,3.23673916,3.36961627,3.73099566,3.06442833,3.11794591,3.06612587,3.33331299,3.65341020,3.22536349,2.99228477,2.93321300,3.08562207,3.45321035,,,,,,,,,,,,,,,,,,,,,,,,,
apr05mb,2005,4,5,20,20,0,42.3463,-70.5716,7752.0,49.0,3.934,2005-04-05T20:20:00,A2005095175000.L2_LAC_OC.nc,Rrs_412 [sr^-1],2005-04-05T17:50:00,2005-04-05T17:54:59,25,0,0.00102000,0.00132800,0.00114920,0.00008540,0.00113200,0.00107400,0.00118000,0.00106800,0.00111400,0.00106200,0.00103000,0.00112600,0.00120000,0.00113200,0.00110000,0.00103600,0.00131000,0.00128400,0.00107400,0.00117400,0.00117000,0.00122800,0.00117400,0.00110200,0.00108200,0.00111200,0.00113400,0.00132800,0.00123600,0.00125400,0.00102000,,,,,,,,,,,,,,,,,,,,,,,,,
apr05mb,2005,4,5,20,20,0,42.3463,-70.5716,7752.0,49.0,3.934,2005-04-05T20:20:00,A2005095175000.L2_LAC_OC.nc,Rrs_443 [sr^-1],2005-04-05T17:50:00,2005-04-05T17:54:59,25,0,0.00152400,0.00183600,0.00167696,0.00008038,0.00167600,0.00166400,0.00167800,0.00167400,0.00165400,0.00154200,0.00164600,0.00153200,0.00170800,0.00156200,0.00152400,0.00158200,0.00178200,0.00171600,0.00166400,0.00165400,0.00171600,0.00167600,0.00174400,0.00171000,0.00175000,0.00170600,0.00165400,0.00181000,0.00174000,0.00183600,0.00166400,,,,,,,,,,,,,,,,,,,,,,,,,
apr05mb,2005,4,5,20,20,0,42.3463,-70.5716,7752.0,49.0,3.934,2005-04-05T20:20:00,A2005095175000.L2_LAC_OC.nc,Rrs_488 [sr^-1],2005-04-05T17:50:00,2005-04-05T17:54:59,25,0,0.00222600,0.00251400,0.00239400,0.00005795,0.00240000,0.00238200,0.00240600,0.00241200,0.00238800,0.00240200,0.00247400,0.00234200,0.00239000,0.00233400,0.00234800,0.00240000,0.00236000,0.00241200,0.00238200,0.00244200,0.00244400,0.00230800,0.00233400,0.00238000,0.00243800,0.00243000,0.00222600,0.00242800,0.00240000,0.00251400,0.00245600,,,,,,,,,,,,,,,,,,,,,,,,,
apr05mb,2005,4,5,20,20,0,42.3463,-70.5716,7752.0,49.0,3.934,2005-04-05T20:20:00,A2005095175000.L2_LAC_OC.nc,Rrs_531 [sr^-1],2005-04-05T17:50:00,2005-04-05T17:54:59,25,0,0.00273800,0.00311600,0.00294848,0.00009652,0.00295800,0.00293800,0.00292200,0.00298200,0.00303600,0.00302200,0.00311600,0.00285000,0.00296200,0.00294800,0.00295800,0.00303000,0.00285400,0.00289400,0.00293800,0.00302800,0.00307800,0.00274600,0.00282000,0.00290800,0.00300400,0.00301200,0.00273800,0.00287800,0.00289400,0.00303400,0.00306000,,,,,,,,,,,,,,,,,,,,,,,,,
apr05mb,2005,4,5,20,20,0,42.3463,-70.5716,7752.0,49.0,3.934,2005-04-05T20:20:00,A2005095175000.L2_LAC_OC.nc,Rrs_547 [sr^-1],2005-04-05T17:50:00,2005-04-05T17:54:59,25,0,0.00274800,0.00317200,0.00298288,0.00011127,0.00298600,0.00294600,0.00294800,0.00300200,0.00308000,0.00306600,0.00317200,0.00286800,0.00298600,0.00298600,0.00300400,0.00309800,0.00287400,0.00291000,0.00294600,0.00305800,0.00316200,0.00280200,0.00285000,0.00289000,0.00304400,0.00312200,0.00274800,0.00292400,0.00287200,0.00306000,0.00310000,,,,,,,,,,,,,,,,,,,,,,,,,
apr05mb,2005,4,5,20,20,0,42.3463,-70.5716,7752.0,49.0,3.934,2005-04-05T20:20:00,A2005095175000.L2_LAC_OC.nc,Rrs_645 [sr^-1],2005-04-05T17:50:00,2005-04-05T17:54:59,25,0,0.00067800,0.00091000,0.00076376,0.00005899,0.00077400,0.00074000,0.00076600,0.00077400,0.00078600,0.00081800,0.00091000,0.00070400,0.00080600,0.00081800,0.00077400,0.00080400,0.00071800,0.00073800,0.00074000,0.00077800,0.00085600,0.00068200,0.00068000,0.00073000,0.00081000,0.00081200,0.00068200,0.00069000,0.00067800,0.00074600,0.00079400,,,,,,,,,,,,,,,,,,,,,,,,,
apr05mb,2005,4,5,20,20,0,42.3463,-70.5716,7752.0,49.0,3.934,2005-04-05T20:20:00,A2005095175000.L2_LAC_OC.nc,Rrs_667 [sr^-1],2005-04-05T17:50:00,2005-04-05T17:54:59,25,0,0.00050200,0.00065600,0.00057384,0.00003419,0.00058400,0.00057200,0.00056400,0.00058600,0.00059000,0.00059800,0.00061600,0.00054800,0.00058400,0.00058600,0.00057600,0.00058800,0.00055200,0.00053800,0.00057200,0.00060200,0.00065600,0.00052600,0.00053000,0.00052600,0.00059600,0.00059800,0.00050200,0.00056000,0.00054200,0.00061000,0.00060000,,,,,,,,,,,,,,,,,,,,,,,,,
apr05mb,2005,4,5,20,20,0,42.3463,-70.5716,7752.0,49.0,3.934,2005-04-05T20:20:00,A2005095175000.L2_LAC_OC.nc,Rrs_678 [sr^-1],2005-04-05T17:50:00,2005-04-05T17:54:59,25,0,0.00054400,0.00065800,0.00059872,0.00003236,0.00060000,0.00058400,0.00058800,0.00060800,0.00063000,0.00062000,0.00065600,0.00056800,0.00060000,0.00060400,0.00059600,0.00062400,0.00057200,0.00056600,0.00058400,0.00062000,0.00065800,0.00055400,0.00055600,0.00056800,0.00062800,0.00063800,0.00054400,0.00058200,0.00055600,0.00063200,0.00061600,,,,,,,,,,,,,,,,,,,,,,,,,
bold_epa_hypoxia_aug07,2007,8,26,17,0,0,29.03,-92.3849,7063.0,21.0,0.744,2007-08-26T17:00:00,A2007238192500.L2_LAC_OC.nc,chlor_a [mg m^-3],2007-08-26T19:25:00,2007-08-26T19:30:00,15,0,2.50010920,3.11730409,2.71555705,1.05260165,2.71062016,2.87348390,2.71062016,2.82696128,2.87348390,2.71493697,2.61661744,2.77466679,2.71154046,2.65802574,2.69219089,2.53827906,3.11730409,2.76476264,2.62987995,2.65841985,2.50010920,,,,,,,,,,,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,,,,,,,,,,
bold_epa_hypoxia_aug07,2007,8,26,17,0,0,29.03,-92.3849,7063.0,21.0,0.744,2007-08-26T17:00:00,A2007238192500.L2_LAC_OC.nc,Rrs_412 [sr^-1],2007-08-26T19:25:00,2007-08-26T19:30:00,15,0,0.00356600,0.00533400,0.00432467,0.00055435,0.00416600,0.00417400,0.00396000,0.00384000,0.00417400,0.00493400,0.00533400,0.00356600,0.00381800,0.00416600,0.00464000,0.00524400,0.00399800,0.00382400,0.00399200,0.00430800,0.00507200,,,,,,,,,,,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,,,,,,,,,,
bold_epa_hypoxia_aug07,2007,8,26,17,0,0,29.03,-92.3849,7063.0,21.0,0.744,2007-08-26T17:00:00,A2007238192500.L2_LAC_OC.nc,Rrs_443 [sr^-1],2007-08-26T19:25:00,2007-08-26T19:30:00,15,0,0.00456000,0.00626000,0.00522347,0.00048651,0.00505800,0.00505800,0.00491000,0.00496200,0.00505800,0.00578000,0.00626000,0.00456000,0.00479200,0.00512000,0.00554800,0.00591600,0.00487200,0.00475000,0.00487000,0.00520400,0.00575000,,,,,,,,,,,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,,,,,,,,,,
bold_epa_hypoxia_aug07,2007,8,26,17,0,0,29.03,-92.3849,7063.0,21.0,0.744,2007-08-26T17:00:00,A2007238192500.L2_LAC_OC.nc,Rrs_488 [sr^-1],2007-08-26T19:25:00,2007-08-26T19:30:00,15,0,0.00676000,0.00804600,0.00728520,0.00038555,0.00714200,0.00714200,0.00703200,0.00706400,0.00714200,0.00768000,0.00804600,0.00676000,0.00693200,0.00727800,0.00758000,0.00786800,0.00695000,0.00691600,0.00703200,0.00724400,0.00775400,,,,,,,,,,,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,,,,,,,,,,
bold_epa_hypoxia_aug07,2007,8,26,17,0,0,29.03,-92.3849,7063.0,21.0,0.744,2007-08-26T17:00:00,A2007238192500.L2_LAC_OC.nc,Rrs_531 [sr^-1],2007-08-26T19:25:00,2007-08-26T19:30:00,15,0,0.00811800,0.00934800,0.00862240,0.00035030,0.00856800,0.00855200,0.00830400,0.00843800,0.00855200,0.00901200,0.00934800,0.00811800,0.00824800,0.00858000,0.00889200,0.00910800,0.00856800,0.00830000,0.00831600,0.00859000,0.00896200,,,,,,,,,,,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,,,,,,,,,,
bold_epa_hypoxia_aug07,2007,8,26,17,0,0,29.03,-92.3849,7063.0,21.0,0.744,2007-08-26T17:00:00,A2007238192500.L2_LAC_OC.nc,Rrs_547 [sr^-1],2007-08-26T19:25:00,2007-08-26T19:30:00,15,0,0.00794200,0.00927000,0.00849427,0.00037633,0.00843000,0.00849000,0.00819800,0.00835200,0.00849000,0.00895800,0.00927000,0.00794200,0.00808200,0.00843000,0.00881800,0.00897000,0.00848600,0.00811600,0.00811400,0.00839200,0.00879600,,,,,,,,,,,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,,,,,,,,,,
bold_epa_hypoxia_aug07,2007,8,26,17,0,0,29.03,-92.3849,7063.0,21.0,0.744,2007-08-26T17:00:00,A2007238192500.L2_LAC_OC.nc,Rrs_645 [sr^-1],2007-08-26T19:25:00,2007-08-26T19:30:00,15,0,0.00166800,0.00237600,0.00197427,0.00019720,0.00196600,0.00197200,0.00175200,0.00189600,0.00197200,0.00223000,0.00237600,0.00166800,0.00176200,0.00196600,0.00216200,0.00219600,0.00190400,0.00181000,0.00181800,0.00198200,0.00212000,,,,,,,,,,,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,,,,,,,,,,
bold_epa_hypoxia_aug07,2007,8,26,17,0,0,29.03,-92.3849,7063.0,21.0,0.744,2007-08-26T17:00:00,A2007238192500.L2_LAC_OC.nc,Rrs_667 [sr^-1],2007-08-26T19:25:00,2007-08-26T19:30:00,15,0,0.00145800,0.00207200,0.00173680,0.00015441,0.00172400,0.00177400,0.00158600,0.00166600,0.00177400,0.00195000,0.00207200,0.00145800,0.00156200,0.00172400,0.00185400,0.00183600,0.00169800,0.00161600,0.00164200,0.00176400,0.00185000,,,,,,,,,,,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,,,,,,,,,,
bold_epa_hypoxia_aug07,2007,8,26,17,0,0,29.03,-92.3849,7063.0,21.0,0.744,2007-08-26T17:00:00,A2007238192500.L2_LAC_OC.nc,Rrs_678 [sr^-1],2007-08-26T19:25:00,2007-08-26T19:30:00,15,0,0.00148200,0.00208200,0.00175387,0.00015154,0.00174600,0.00179000,0.00161200,0.00168400,0.00179000,0.00197400,0.00208200,0.00148200,0.00158000,0.00174600,0.00185600,0.00185400,0.00173200,0.00162800,0.00166200,0.00176000,0.00186600,,,,,,,,,,,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,,,,,,,,,,
bold_epa_hypoxia_aug07,2007,8,26,20,0,0,29.03,-92.3849,7065.0,21.0,0.634,2007-08-26T20:00:00,A2007238192500.L2_LAC_OC.nc,chlor_a [mg m^-3],2007-08-26T19:25:00,2007-08-26T19:30:00,15,0,2.50010920,3.11730409,2.71555705,1.05260165,2.71062016,2.87348390,2.71062016,2.82696128,2.87348390,2.71493697,2.61661744,2.77466679,2.71154046,2.65802574,2.69219089,2.53827906,3.11730409,2.76476264,2.62987995,2.65841985,2.50010920,,,,,,,,,,,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,,,,,,,,,,
bold_epa_hypoxia_aug07,2007,8,26,20,0,0,29.03,-92.3849,7065.0,21.0,0.634,2007-08-26T20:00:00,A2007238192500.L2_LAC_OC.nc,Rrs_412 [sr^-1],2007-08-26T19:25:00,2007-08-26T19:30:00,15,0,0.00356600,0.00533400,0.00432467,0.00055435,0.00416600,0.00417400,0.00396000,0.00384000,0.00417400,0.00493400,0.00533400,0.00356600,0.00381800,0.00416600,0.00464000,0.00524400,0.00399800,0.00382400,0.00399200,0.00430800,0.00507200,,,,,,,,,,,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,,,,,,,,,,
bold_epa_hypoxia_aug07,2007,8,26,20,0,0,29.03,-92.3849,7065.0,21.0,0.634,2007-08-26T20:00:00,A2007238192500.L2_LAC_OC.nc,Rrs_443 [sr^-1],2007-08-26T19:25:00,2007-08-26T19:30:00,15,0,0.00456000,0.00626000,0.00522347,0.00048651,0.00505800,0.00505800,0.00491000,0.00496200,0.00505800,0.00578000,0.00626000,0.00456000,0.00479200,0.00512000,0.00554800,0.00591600,0.00487200,0.00475000,0.00487000,0.00520400,0.00575000,,,,,,,,,,,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,,,,,,,,,,
bold_epa_hypoxia_aug07,2007,8,26,20,0,0,29.03,-92.3849,7065.0,21.0,0.634,2007-08-26T20:00:00,A2007238192500.L2_LAC_OC.nc,Rrs_488 [sr^-1],2007-08-26T19:25:00,2007-08-26T19:30:00,15,0,0.00676000,0.00804600,0.00728520,0.00038555,0.00714200,0.00714200,0.00703200,0.00706400,0.00714200,0.00768000,0.00804600,0.00676000,0.00693200,0.00727800,0.00758000,0.00786800,0.00695000,0.00691600,0.00703200,0.00724400,0.00775400,,,,,,,,,,,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,,,,,,,,,,
bold_epa_hypoxia_aug07,2007,8,26,20,0,0,29.03,-92.3849,7065.0,21.0,0.634,2007-08-26T20:00:00,A2007238192500.L2_LAC_OC.nc,Rrs_531 [sr^-1],2007-08-26T19:25:00,2007-08-26T19:30:00,15,0,0.00811800,0.00934800,0.00862240,0.00035030,0.00856800,0.00855200,0.00830400,0.00843800,0.00855200,0.00901200,0.00934800,0.00811800,0.00824800,0.00858000,0.00889200,0.00910800,0.00856800,0.00830000,0.00831600,0.00859000,0.00896200,,,,,,,,,,,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,,,,,,,,,,
bold_epa_hypoxia_aug07,2007,8,26,20,0,0,29.03,-92.3849,7065.0,21.0,0.634,2007-08-26T20:00:00,A2007238192500.L2_LAC_OC.nc,Rrs_547 [sr^-1],2007-08-26T19:25:00,2007-08-26T19:30:00,15,0,0.00794200,0.00927000,0.00849427,0.00037633,0.00843000,0.00849000,0.00819800,0.00835200,0.00849000,0.00895800,0.00927000,0.00794200,0.00808200,0.00843000,0.00881800,0.00897000,0.00848600,0.00811600,0.00811400,0.00839200,0.00879600,,,,,,,,,,,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,,,,,,,,,,
bold_epa_hypoxia_aug07,2007,8,26,20,0,0,29.03,-92.3849,7065.0,21.0,0.634,2007-08-26T20:00:00,A2007238192500.L2_LAC_OC.nc,Rrs_645 [sr^-1],2007-08-26T19:25:00,2007-08-26T19:30:00,15,0,0.00166800,0.00237600,0.00197427,0.00019720,0.00196600,0.00197200,0.00175200,0.00189600,0.00197200,0.00223000,0.00237600,0.00166800,0.00176200,0.00196600,0.00216200,0.00219600,0.00190400,0.00181000,0.00181800,0.00198200,0.00212000,,,,,,,,,,,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT+PRODFAIL,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,COASTZ+TURBIDW+MODGLINT,,,,,,,,,,
